,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
13,26.0,14.0,3.0,46.0,7.0,21.0,8.0,0.0,0.0,35.0,13.0,0.0,0.0,101.0,53.0,47.0,0.0,24.0,25.0,15.0,2.0,0.0,0.0,0.0,14.0,0.0,41.0,26.0,169.0,14.0,0.0,36.0,4.0,64.0,0.0,0.0,140.0,0.0,0.0,47.0,12.0,0.0,21.0,0.0,19.0,15.0,0.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37.0,7.0,10.0,14.0,20.0,0.0,16.0,44.0,45.0,55.0,8.0,0.0,33.0,45.0,21.0,0.0,56.0,30.0,20.0,40.0,0.0,9.0,17.0,24.0,28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24.0,14.0,0.0,31.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,33.0,3.0,11.0,27.0,29.0,7.0,45.0,6.0,40.0,14.0,5.0,38.0,0.0,116.0,14.0,0.0,0.0,23.0,9.0,0.0,11.0,112.0,0.0,128.0,82.0,15.0,0.0,1.0,1.0,4.0,19.0,0.0,38.0,40.0,21.0,0.0,45.0,0.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6.0,5.0,6.0,10.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6.0,22.0,0.0,9.0,14.0,0.0,13.0,0.0,17.0,3.0,33.0,0.0,4.0,0.0,0.0,16.0,83.0,6.0,9.0,0.0,5.0,9.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,23.0,16.0,9.0,2.0,60.0,0.0,11.0,3.0,19.0,0.0,8.0,70.0,28.0,0.0,6.0,0.0,53.0,40.0,21.0,0.0,7.0,1.0,32.0,15.0,0.0,82.0,56.0,122.0,0.0,0.0,46.0,6.0,10.0,13.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22.0,22.0,0.0,9.0,6.0,2.0,0.0,77.0,13.0,0.0,11.0,10.0,33.0,33.0,10.0,17.0,25.0,4.0,0.0,9.0,45.0,18.0,12.0,4.0,10.0,10.0,28.0,31.0,0.0,34.0,0.0,6.0,0.0,12.0,0.0,44.0,13.0,0.0,0.0,65.0,437.0,0.0,0.0,56.0,0.0,29.0,16.0,226.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17.0,28.0,11.0,0.0,0.0,27.0,49.0,29.0,9.0,10.0,0.0,18.0,17.0,147.0,25.0,80.0,56.0,11.0,171.0,0.0,1.0,33.0,88.0,0.0,17.0,53.0,99.0,47.0,0.0,23.0,18.0,63.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,15.0,44.0,53.0,23.0,0.0,23.0,20.0,0.0,10.0,38.0,33.0,118.0,64.0,34.0,12.0,18.0,66.0,5.0,109.0,29.0,4.0,11.0,20.0,46.0,0.0,14.0,0.0,28.0,45.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,5.0,14.0,20.0,1.0,11.0,84.0,1.0,37.0,44.0,14.0,56.0,3.0,4.0,4.0,83.0,1.0,21.0,7.0,23.0,11.0,10.0,5.0,12.0,0.0,0.0,3.0,0.0,0.0,74.0,1.0,57.0,21.0,0.0,48.0,104.0,0.0,16.0,0.0,49.0,151.0,12.0,27.0,0.0,0.0,109.0,75.0,43.0,112.0,149.0,0.0,12.0,25.0,11.0,149.0,25.0,129.0,19.0,15.0,10.0,24.0,216.0,46.0,241.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,244.0,715.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
