,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
11,5.0,37.0,11.0,22.0,9.0,0.0,0.0,0.0,16.0,17.0,0.0,31.0,0.0,28.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.0,19.0,6.0,22.0,23.0,9.0,0.0,5.0,29.0,11.0,21.0,19.0,18.0,26.0,13.0,0.0,12.0,1.0,60.0,0.0,38.0,0.0,30.0,18.0,3.0,0.0,58.0,13.0,105.0,17.0,51.0,17.0,64.0,0.0,41.0,0.0,0.0,292.0,80.0,34.0,0.0,1.0,0.0,0.0,0.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,20.0,27.0,15.0,17.0,0.0,38.0,3.0,16.0,13.0,27.0,7.0,0.0,48.0,4.0,16.0,0.0,6.0,12.0,0.0,10.0,53.0,25.0,10.0,81.0,5.0,26.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,53.0,38.0,19.0,0.0,14.0,3.0,21.0,0.0,3.0,0.0,42.0,32.0,43.0,0.0,16.0,3.0,1.0,0.0,32.0,12.0,14.0,9.0,0.0,9.0,10.0,3.0,1.0,4.0,6.0,0.0,9.0,1.0,10.0,19.0,37.0,0.0,4.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,19.0,7.0,7.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20.0,23.0,4.0,2.0,0.0,0.0,10.0,4.0,26.0,4.0,0.0,23.0,10.0,0.0,8.0,34.0,0.0,0.0,65.0,212.0,120.0,254.0,34.0,43.0,0.0,58.0,21.0,0.0,33.0,0.0,67.0,32.0,14.0,23.0,5.0,42.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20.0,10.0,0.0,10.0,0.0,0.0,17.0,7.0,33.0,0.0,0.0,37.0,19.0,48.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,73.0,68.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,22.0,0.0,0.0,48.0,20.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16.0,7.0,7.0,8.0,12.0,0.0,9.0,31.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8.0,12.0,0.0,4.0,1.0,14.0,0.0,18.0,8.0,3.0,33.0,14.0,17.0,59.0,53.0,9.0,12.0,11.0,29.0,7.0,1.0,11.0,21.0,20.0,24.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,31.0,15.0,16.0,24.0,0.0,0.0,25.0,14.0,33.0,24.0,8.0,0.0,9.0,15.0,0.0,16.0,8.0,7.0,45.0,7.0,8.0,0.0,17.0,0.0,0.0,71.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,30.0,19.0,34.0,21.0,12.0,26.0,6.0,16.0,13.0,14.0,59.0,12.0,1.0,60.0,0.0,0.0,51.0,121.0,0.0,15.0,33.0,84.0,0.0,5.0,171.0,18.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,27.0,19.0,4.0,7.0,19.0,12.0,14.0,11.0,20.0,18.0,6.0,1.0,16.0,14.0,1.0,0.0,1.0,0.0,13.0,0.0,9.0,37.0,4.0,8.0,19.0,0.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25.0,11.0,0.0,6.0,6.0,2.0,1.0,26.0,7.0,0.0,5.0,0.0,0.0,13.0,0.0,26.0,4.0,4.0,18.0,0.0,11.0,0.0,9.0,0.0,0.0,23.0,0.0,3.0,0.0,16.0,0.0,20.0,7.0,7.0,0.0,17.0,0.0,0.0,0.0,17.0,12.0,10.0,34.0,21.0,5.0,37.0,39.0,0.0,27.0,11.0,7.0,6.0,35.0,91.0,16.0,10.0,30.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
