,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270
10,29,21,31,59,36,53,42,43,40,51,18,22,-12,35,23,32,0,16,0,9.0,7.0,15.0,-55.0,-38.0,-73.0,-65.0,-48.0,-45.0,-63.0,-14.0,-25.0,-2.0,-12.0,-7.0,-16.0,-32.0,-14.0,-10.0,-5.0,-16.0,0.0,-8.0,-191.0,-173.0,-173.0,-148.0,-200.0,-209.0,-197.0,-192.0,-184.0,-130.0,-177.0,-187.0,-413.0,-425.0,-557.0,-559.0,-1222.0,-1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18,42,37,55,18,9,-2,12,-10,15,6,0,1,0,0,0,0,0,-16,-15.0,-32.0,-1.0,0.0,0.0,-31.0,-58.0,-37.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,33,39,43,62,21,27,23,45,27,50,29,38,41,37,28,33,29,58,45,56.0,30.0,51.0,0.0,19.0,16.0,34.0,9.0,35.0,-2.0,11.0,0.0,0.0,-12.0,0.0,-26.0,-25.0,-149.0,-89.0,-210.0,-219.0,-261.0,-223.0,-229.0,-238.0,-230.0,-200.0,-240.0,-222.0,-242.0,-239.0,-226.0,-248.0,-234.0,-176.0,-263.0,-250.0,-339.0,-234.0,-449.0,-432.0,-427.0,-376.0,-375.0,-358.0,-417.0,-353.0,-348.0,-422.0,-458.0,-417.0,-452.0,-489.0,-501.0,-529.0,-529.0,-237.0,-272.0,-192.0,-342.0,-308.0,-328.0,-333.0,-400.0,-399.0,-497.0,-507.0,-744.0,-774.0,-874.0,-886.0,-903.0,-819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28,33,34,52,32,32,5,15,0,40,23,37,53,62,24,40,37,30,14,51.0,38.0,62.0,35.0,49.0,42.0,42.0,63.0,56.0,8.0,12.0,8.0,39.0,23.0,8.0,34.0,122.0,116.0,131.0,119.0,207.0,273.0,295.0,285.0,332.0,279.0,339.0,314.0,317.0,307.0,363.0,282.0,361.0,356.0,375.0,349.0,376.0,411.0,439.0,495.0,691.0,687.0,866.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,42,43,70,17,40,2,9,-10,6,27,40,26,35,32,33,12,36,40,55.0,52.0,48.0,49.0,43.0,1.0,14.0,-18.0,20.0,-23.0,10.0,11.0,4.0,-12.0,-14.0,-17.0,-20.0,-21.0,-15.0,-4.0,-9.0,-41.0,-12.0,-24.0,-10.0,-24.0,-28.0,-37.0,-46.0,-26.0,-9.0,-18.0,-21.0,-31.0,-19.0,-22.0,-21.0,-22.0,-15.0,-19.0,-13.0,-19.0,-15.0,-14.0,-14.0,-23.0,-16.0,-17.0,-16.0,-26.0,-18.0,-37.0,-20.0,-57.0,-52.0,-37.0,-57.0,-61.0,-52.0,-53.0,-25.0,-25.0,-8.0,-36.0,-17.0,-17.0,-44.0,-28.0,-30.0,-27.0,-28.0,-23.0,-9.0,-28.0,0.0,-7.0,-5.0,-12.0,-10.0,-12.0,-8.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,27,47,30,53,36,40,47,49,40,39,36,35,17,27,19,23,9,35,28,32.0,34.0,29.0,26.0,49.0,5.0,15.0,4.0,-1.0,0.0,8.0,-21.0,13.0,0.0,0.0,0.0,0.0,0.0,65.0,9.0,221.0,130.0,250.0,291.0,545.0,616.0,650.0,638.0,681.0,725.0,725.0,693.0,751.0,681.0,702.0,759.0,753.0,755.0,788.0,817.0,764.0,599.0,666.0,682.0,714.0,740.0,754.0,692.0,715.0,724.0,729.0,731.0,773.0,777.0,794.0,779.0,757.0,812.0,808.0,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,46,26,71,61,56,57,60,50,45,54,52,67,59,42,63,56,65,32,30.0,33.0,40.0,40.0,37.0,0.0,55.0,36.0,49.0,1.0,12.0,28.0,16.0,24.0,71.0,81.0,44.0,27.0,0.0,23.0,26.0,24.0,0.0,0.0,0.0,0.0,55.0,71.0,57.0,70.0,93.0,107.0,115.0,72.0,60.0,62.0,31.0,31.0,22.0,25.0,26.0,33.0,26.0,40.0,34.0,6.0,6.0,0.0,2.0,7.0,229.0,156.0,312.0,244.0,219.0,332.0,303.0,375.0,222.0,273.0,556.0,596.0,611.0,690.0,705.0,672.0,724.0,769.0,780.0,758.0,755.0,758.0,755.0,758.0,797.0,749.0,778.0,758.0,757.0,746.0,762.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22,38,38,45,37,44,36,44,40,52,53,45,44,53,25,56,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,28,30,22,49,37,35,39,42,38,37,36,40,26,40,45,34,16,32,24,46.0,43.0,50.0,17.0,43.0,29.0,21.0,4.0,37.0,-22.0,3.0,-50.0,15.0,6.0,14.0,2.0,27.0,16.0,29.0,0.0,11.0,4.0,0.0,-1.0,30.0,19.0,24.0,3.0,20.0,0.0,24.0,0.0,7.0,15.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,51,48,63,25,41,24,48,45,45,47,46,33,58,20,34,0,33,17,41.0,29.0,37.0,45.0,44.0,35.0,44.0,28.0,43.0,50.0,45.0,21.0,37.0,21.0,29.0,12.0,19.0,17.0,62.0,35.0,42.0,20.0,28.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
