,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,EventCategory,WhiteTeamCountry,BlackTeamCountry
168,58th ch-IND 2022,Kanpur IND,2022.03.01,9.2,"Gukesh, D.","Iniyan, P.",1/2-1/2,2516,E12,IND,2022.02.25,11,swiss,129,Mark Crowther,2022.03.07,2,The Week in Chess 1426,2,2022.03.08,2614,,,,,
169,58th ch-IND 2022,Kanpur IND,2022.03.02,10.3,"Gupta, Ab","Gukesh, D.",0-1,2614,E24,IND,2022.02.25,11,swiss,128,Mark Crowther,2022.03.07,2,The Week in Chess 1426,2,2022.03.08,2628,,,,,
170,58th ch-IND 2022,Kanpur IND,2022.03.03,11.2,"Gukesh, D.","Aryan, C.",1/2-1/2,2585,E12,IND,2022.02.25,11,swiss,60,Mark Crowther,2022.03.07,2,The Week in Chess 1426,2,2022.03.08,2614,,,,,
171,TCh-BAN Premier 2022,Dhaka BAN,2022.03.10,1.5,"Gukesh, D.",Jabed Al Azad,1-0,2064,D27,BAN,2022.03.10,11,team,73,Mark Crowther,2022.03.14,2,The Week in Chess 1427,1,2022.03.14,2614,Manha's Castle,Bangladesh Police,,,
172,TCh-BAN Premier 2022,Dhaka BAN,2022.03.11,2.3,"Harshad, S.","Gukesh, D.",0-1,2614,C00,BAN,2022.03.10,11,team,80,Mark Crowther,2022.03.14,2,The Week in Chess 1427,1,2022.03.14,2328,Bangladesh Police,Janata Bank Officer Welfare Society,,,
173,TCh-BAN Premier 2022,Dhaka BAN,2022.03.12,3.4,"Gukesh, D.","Parveen, T.",1-0,1971,A20,BAN,2022.03.10,11,team,73,Mark Crowther,2022.03.14,2,The Week in Chess 1427,1,2022.03.14,2614,Leonine Chess Club,Bangladesh Police,,,
174,TCh-BAN Premier 2022,Dhaka BAN,2022.03.13,4.4,"Md., Shar","Gukesh, D.",0-1,2614,B15,BAN,2022.03.10,11,team,66,Mark Crowther,2022.03.14,2,The Week in Chess 1427,1,2022.03.14,2205,Bangladesh Police,Bangladesh Navy,,,
175,TCh-BAN Premier 2022,Dhaka BAN,2022.03.14,5.3,"Gukesh, D.","Narayanan, Sri",1/2-1/2,2553,D38,BAN,2022.03.10,11,team,73,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2614,Rupali Bank Krira Parisad,Bangladesh Police,,,
176,TCh-BAN Premier 2022,Dhaka BAN,2022.03.15,6.5,"Bharath, Subramaniyam H","Gukesh, D.",1/2-1/2,2614,C11,BAN,2022.03.10,11,team,79,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2508,Bangladesh Police,Uttara Central Chess Club,,,
177,TCh-BAN Premier 2022,Dhaka BAN,2022.03.16,7.2,"Gukesh, D.","Gosh, C.",1-0,2042,E95,BAN,2022.03.10,11,team,63,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2614,Titas Club,Bangladesh Police,,,
178,TCh-BAN Premier 2022,Dhaka BAN,2022.03.17,8.6,"Aditya, Mittal","Gukesh, D.",0-1,2614,E04,BAN,2022.03.10,11,team,102,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2487,Bangladesh Police,Shahin Chess Club,,,
179,TCh-BAN Premier 2022,Dhaka BAN,2022.03.18,9.1,"Gukesh, D.","Hossain, Enam",1-0,2410,D41,BAN,2022.03.10,11,team,55,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2614,SAIF Sporting Club,Bangladesh Police,,,
180,TCh-BAN Premier 2022,Dhaka BAN,2022.03.19,10.6,"Gukesh, D.","Ahmed, Sh",1-0,2106,A92,BAN,2022.03.10,11,team,87,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2614,Sheikh Russel Chess Club,Bangladesh Police,,,
181,TCh-BAN Premier 2022,Dhaka BAN,2022.03.20,11.2,"Puranik, A.","Gukesh, D.",1-0,2614,C02,BAN,2022.03.10,11,team,103,Mark Crowther,2022.03.21,2,The Week in Chess 1428,2,2022.03.22,2618,Bangladesh Police,Bangladesh Biman,,,
182,19th Delhi Open 2022,New Delhi IND,2022.03.22,1.6,"Gukesh, D.","Sudarshan, Bhat",1-0,2100,E26,IND,2022.03.22,10,swiss,53,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2614,,,,,
183,19th Delhi Open 2022,New Delhi IND,2022.03.23,2.6,"Liyanage, Ranindu Dilshan","Gukesh, D.",1-0,2614,C15,IND,2022.03.22,10,swiss,127,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2340,,,,,
184,19th Delhi Open 2022,New Delhi IND,2022.03.25,5.13,"Gukesh, D.","Singh, Ojasva",1-0,2141,D11,IND,2022.03.22,10,swiss,49,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2614,,,,,
185,19th Delhi Open 2022,New Delhi IND,2022.03.25,6.7,"Shahil, Dey","Gukesh, D.",0-1,2614,B15,IND,2022.03.22,10,swiss,52,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2400,,,,,
186,19th Delhi Open 2022,New Delhi IND,2022.03.26,7.6,"Gukesh, D.","Tahbaz, Arash",1-0,2469,D37,IND,2022.03.22,10,swiss,87,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2614,,,,,
187,19th Delhi Open 2022,New Delhi IND,2022.03.27,8.3,"Karthik, V4.","Gukesh, D.",0-1,2614,E10,IND,2022.03.22,10,swiss,58,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2485,,,,,
188,19th Delhi Open 2022,New Delhi IND,2022.03.28,9.1,"Gukesh, D.","Erigaisi, Arjun",1/2-1/2,2660,B90,IND,2022.03.22,10,swiss,88,Mark Crowther,2022.03.28,2,The Week in Chess 1429,1,2022.03.28,2614,,,,,
189,19th Delhi Open 2022,New Delhi IND,2022.03.29,10.1,"Gupta, Ab","Gukesh, D.",0-1,2614,E24,IND,2022.03.22,10,swiss,116,Mark Crowther,2022.04.04,2,The Week in Chess 1430,1,2022.04.04,2628,,,,,
190,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.06,1.2,"Mahitosh, Dey","Gukesh, D.",0-1,2637,D02,ISL,2022.04.06,9,swiss,120,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2233,,,,,
191,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.07,2.2,"Gukesh, D.","Fantinel, T.",1-0,2378,E94,ISL,2022.04.06,9,swiss,71,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2637,,,,,
192,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.07,3.1,"Cornette, M.","Gukesh, D.",1/2-1/2,2637,B31,ISL,2022.04.06,9,swiss,68,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2569,,,,,
193,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.08,4.3,"Gukesh, D.","Maze, S.",1-0,2524,D38,ISL,2022.04.06,9,swiss,91,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2637,,,,,
194,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.09,5.2,"Fier, A.","Gukesh, D.",1/2-1/2,2637,B31,ISL,2022.04.06,9,swiss,44,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2573,,,,,
195,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.10,6.2,"Gukesh, D.","Steingrimsson, H.",1/2-1/2,2538,D40,ISL,2022.04.06,9,swiss,66,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2637,,,,,
196,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.10,7.4,"Laurent-Paoli, Pierre","Gukesh, D.",1/2-1/2,2637,D38,ISL,2022.04.06,9,swiss,111,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2487,,,,,
197,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.11,8.4,"Gukesh, D.","Hjartarson, J.",1-0,2465,E15,ISL,2022.04.06,9,swiss,91,Mark Crowther,2022.04.11,2,The Week in Chess 1431,1,2022.04.11,2637,,,,,
198,Kvika Reykjavik Open 2022,Reykjavik ISL,2022.04.12,9.2,"Gukesh, D.","Praggnanandhaa, R.",0-1,2624,E48,ISL,2022.04.06,9,swiss,75,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2637,,,,,
199,48th La Roda Open 2022,La Roda ESP,2022.04.13,1.2,"Gukesh, D.",Bhagat Kush,1-0,1848,E71,ESP,2022.04.13,9,swiss,53,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2637,,,,,
200,48th La Roda Open 2022,La Roda ESP,2022.04.14,2.2,"Hernandez Ramos, Alberto","Gukesh, D.",0-1,2637,B11,ESP,2022.04.13,9,swiss,80,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2086,,,,,
201,48th La Roda Open 2022,La Roda ESP,2022.04.14,3.2,"Gukesh, D.","Romero Pallares, Daniel",1-0,2283,B62,ESP,2022.04.13,9,swiss,67,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2637,,,,,
202,48th La Roda Open 2022,La Roda ESP,2022.04.15,4.1,"Bernabeu Lopez, C.","Gukesh, D.",0-1,2637,D38,ESP,2022.04.13,9,swiss,40,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2419,,,,,
203,48th La Roda Open 2022,La Roda ESP,2022.04.15,5.1,"Gukesh, D.","Martirosyan, Haik M.",1/2-1/2,2633,D37,ESP,2022.04.13,9,swiss,53,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2637,,,,,
204,48th La Roda Open 2022,La Roda ESP,2022.04.16,6.1,"Praggnanandhaa, R.","Gukesh, D.",1/2-1/2,2637,B11,ESP,2022.04.13,9,swiss,81,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2624,,,,,
205,48th La Roda Open 2022,La Roda ESP,2022.04.16,7.2,"Gukesh, D.","Renteria, J.",1-0,2264,E26,ESP,2022.04.13,9,swiss,55,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2637,,,,,
206,48th La Roda Open 2022,La Roda ESP,2022.04.17,8.2,"Gavarrete, Nahun","Gukesh, D.",0-1,2637,B31,ESP,2022.04.13,9,swiss,38,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2349,,,,,
207,48th La Roda Open 2022,La Roda ESP,2022.04.17,9.1,"Gukesh, D.","Mikhalevski, V.",1-0,2554,A16,ESP,2022.04.13,9,swiss,51,Mark Crowther,2022.04.18,2,The Week in Chess 1432,1,2022.04.18,2637,,,,,
208,3rd Yerevan Open A 2021,Yerevan ARM,2021.10.19,6.3,"Davtyan, Artur","Gukesh, D.",0-1,2640,D38,ARM,2021.10.14,9,swiss,98,Mark Crowther,2021.10.25,2,The Week in Chess 1407,1,2021.10.25,2453,,,,,
209,3rd Yerevan Open A 2021,Yerevan ARM,2021.10.20,7.2,"Gukesh, D.","Puranik, A.",0-1,2568,D85,ARM,2021.10.14,9,swiss,98,Mark Crowther,2021.10.25,2,The Week in Chess 1407,1,2021.10.25,2640,,,,,
210,3rd Yerevan Open A 2021,Yerevan ARM,2021.10.21,8.4,"Karthik, V4.","Gukesh, D.",1/2-1/2,2640,E06,ARM,2021.10.14,9,swiss,52,Mark Crowther,2021.10.25,2,The Week in Chess 1407,1,2021.10.25,2483,,,,,
211,3rd Yerevan Open A 2021,Yerevan ARM,2021.10.22,9.4,"Gharibyan, Mamikon","Gukesh, D.",1/2-1/2,2640,E04,ARM,2021.10.14,9,swiss,60,Mark Crowther,2021.10.25,2,The Week in Chess 1407,1,2021.10.25,2471,,,,,
212,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.20,1.5,"Gukesh, D.","Rodriguez Redondo, Adhara",1-0,2086,D31,ESP,2022.04.20,7,swiss,47,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2637,,,,,
213,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.21,2.5,"Dubkov, A.","Gukesh, D.",0-1,2637,D38,ESP,2022.04.20,7,swiss,62,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2332,,,,,
214,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.21,3.5,"Gukesh, D.","Batsiashvili, N.",1-0,2463,D38,ESP,2022.04.20,7,swiss,89,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2637,,,,,
215,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.22,4.3,"Heimann, An","Gukesh, D.",0-1,2637,E10,ESP,2022.04.20,7,swiss,142,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2583,,,,,
216,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.23,5.1,"Gukesh, D.","Aryan, C.",1/2-1/2,2592,E15,ESP,2022.04.20,7,swiss,85,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2637,,,,,
217,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.23,6.1,"Sargsyan, Shant","Gukesh, D.",1/2-1/2,2637,D38,ESP,2022.04.20,7,swiss,22,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2639,,,,,
218,I Menorca Open 2022,Ciutadella de Menorca ESP,2022.04.24,7.2,"Gukesh, D.","Adhiban, Baskaran",1-0,2633,E94,ESP,2022.04.20,7,swiss,105,Mark Crowther,2022.04.25,2,The Week in Chess 1433,1,2022.04.25,2637,,,,,
219,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.04.29,1.4,"Dukic, Zachary","Gukesh, D.",0-1,2637,B12,ESP,2022.04.29,10,swiss,70,Mark Crowther,2022.05.02,2,The Week in Chess 1434,2,2022.05.03,2226,,,,,
220,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.04.30,2.4,"Gukesh, D.","Alinasab, Mobina",1-0,2355,B40,ESP,2022.04.29,10,swiss,79,Mark Crowther,2022.05.02,2,The Week in Chess 1434,2,2022.05.03,2637,,,,,
221,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.01,3.3,"Cuenca Jimenez, J.","Gukesh, D.",0-1,2637,D38,ESP,2022.04.29,10,swiss,92,Mark Crowther,2022.05.02,2,The Week in Chess 1434,2,2022.05.03,2558,,,,,
222,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.02,4.1,"Gukesh, D.","Santos Latasa, J.",1/2-1/2,2656,D43,ESP,2022.04.29,10,swiss,60,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2637,,,,,
223,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.03,5.3,"Batsiashvili, N.","Gukesh, D.",0-1,2637,D38,ESP,2022.04.29,10,swiss,78,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2463,,,,,
224,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.04,6.1,"Gukesh, D.","Santos Ruiz, Miguel",1/2-1/2,2597,D41,ESP,2022.04.29,10,swiss,57,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2637,,,,,
225,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.05,7.2,"Sargsyan, Shant","Gukesh, D.",1/2-1/2,2637,B31,ESP,2022.04.29,10,swiss,112,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2639,,,,,
226,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.06,8.2,"Gukesh, D.","Song, Ju",1-0,2373,D32,ESP,2022.04.29,10,swiss,135,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2637,,,,,
227,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.07,9.1,"Sasikiran, K.","Gukesh, D.",0-1,2637,B31,ESP,2022.04.29,10,swiss,94,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2650,,,,,
228,I Sunway Formentera Open,Sant Ferran de ses Roques ESP,2022.05.08,10.1,"Gukesh, D.","Martirosyan, Haik M.",1/2-1/2,2633,D37,ESP,2022.04.29,10,swiss,49,Mark Crowther,2022.05.09,2,The Week in Chess 1435,2,2022.05.09,2637,,,,,
229,5th Sharjah Masters 2022,Sharjah UAE,2022.05.21,1.9,"Gukesh, D.","Sanal, V.",1-0,2575,D43,UAE,2022.05.21,9,swiss,127,Mark Crowther,2022.05.23,2,The Week in Chess 1437,1,2022.05.23,2659,,,,,
230,5th Sharjah Masters 2022,Sharjah UAE,2022.05.22,2.4,"Sindarov, Javokhir","Gukesh, D.",1-0,2659,B31,UAE,2022.05.21,9,swiss,63,Mark Crowther,2022.05.23,2,The Week in Chess 1437,1,2022.05.23,2609,,,,,
231,5th Sharjah Masters 2022,Sharjah UAE,2022.05.23,3.18,"Gukesh, D.","Suleymanli, Aydin",1-0,2537,D37,UAE,2022.05.21,9,swiss,41,Mark Crowther,2022.05.23,2,The Week in Chess 1437,1,2022.05.23,2659,,,,,
232,5th Sharjah Masters 2022,Sharjah UAE,2022.05.24,4.10,"Indjic, A.","Gukesh, D.",1/2-1/2,2659,A13,UAE,2022.05.21,9,swiss,76,Mark Crowther,2022.05.30,2,The Week in Chess 1438,1,2022.05.30,2621,,,,,
233,5th Sharjah Masters 2022,Sharjah UAE,2022.05.25,5.11,"Gukesh, D.","Sethuraman, S.",1/2-1/2,2613,D43,UAE,2022.05.21,9,swiss,127,Mark Crowther,2022.05.30,2,The Week in Chess 1438,1,2022.05.30,2659,,,,,
234,5th Sharjah Masters 2022,Sharjah UAE,2022.05.26,6.11,"Hovhannisyan, R.","Gukesh, D.",0-1,2659,B47,UAE,2022.05.21,9,swiss,70,Mark Crowther,2022.05.30,2,The Week in Chess 1438,1,2022.05.30,2607,,,,,
235,5th Sharjah Masters 2022,Sharjah UAE,2022.05.27,7.4,"Gukesh, D.","Yilmaz, M.",1/2-1/2,2631,C45,UAE,2022.05.21,9,swiss,69,Mark Crowther,2022.05.30,2,The Week in Chess 1438,1,2022.05.30,2659,,,,,
236,5th Sharjah Masters 2022,Sharjah UAE,2022.05.28,8.6,"Idani, P.","Gukesh, D.",1/2-1/2,2659,B47,UAE,2022.05.21,9,swiss,106,Mark Crowther,2022.05.30,2,The Week in Chess 1438,1,2022.05.30,2635,,,,,
237,5th Sharjah Masters 2022,Sharjah UAE,2022.05.29,9.7,"Gukesh, D.","Abasov, N.",1-0,2635,D37,UAE,2022.05.21,9,swiss,83,Mark Crowther,2022.05.30,2,The Week in Chess 1438,1,2022.05.30,2659,,,,,
238,14th Gijon Closed 2022,Gijon ESP,2022.07.03,1.3,"Garrido Outon, Alex","Gukesh, D.",0-1,2684,B32,ESP,2022.07.03,9,tourn,76,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2436,,,9,,
239,14th Gijon Closed 2022,Gijon ESP,2022.07.04,2.3,"Gukesh, D.","Fier, A.",1-0,2567,D45,ESP,2022.07.03,9,tourn,59,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2684,,,9,,
240,14th Gijon Closed 2022,Gijon ESP,2022.07.04,3.4,"Forgas Moreno, Y.","Gukesh, D.",0-1,2684,A00,ESP,2022.07.03,9,tourn,56,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2343,,,9,,
241,14th Gijon Closed 2022,Gijon ESP,2022.07.05,4.2,"Gukesh, D.","Panelo, M.",1-0,2383,C88,ESP,2022.07.03,9,tourn,107,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2684,,,9,,
242,14th Gijon Closed 2022,Gijon ESP,2022.07.05,5.5,"Alvarez Fernandez, E.","Gukesh, D.",0-1,2684,D02,ESP,2022.07.03,9,tourn,102,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2329,,,9,,
243,14th Gijon Closed 2022,Gijon ESP,2022.07.06,6.1,"Gines Esteo, Pedro Antonio","Gukesh, D.",1/2-1/2,2684,E10,ESP,2022.07.03,9,tourn,146,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2455,,,9,,
244,14th Gijon Closed 2022,Gijon ESP,2022.07.07,7.5,"Gukesh, D.","Delgado Ramirez, N.",1-0,2614,E11,ESP,2022.07.03,9,tourn,69,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2684,,,9,,
245,14th Gijon Closed 2022,Gijon ESP,2022.07.07,8.2,"Tejedor Fuente, Enrique","Gukesh, D.",0-1,2684,A45,ESP,2022.07.03,9,tourn,77,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2419,,,9,,
246,14th Gijon Closed 2022,Gijon ESP,2022.07.08,9.4,"Gukesh, D.","Martinez Duany, L.",1/2-1/2,2497,E94,ESP,2022.07.03,9,tourn,84,Mark Crowther,2022.07.11,2,The Week in Chess 1444,1,2022.07.11,2684,,,9,,
247,55th Biel GM 2022,Biel SUI,2022.07.14,1.1,"Abdusattorov, Nodirbek","Gukesh, D.",0-1,2684,B33,SUI,2022.07.14,7,tourn,94,Mark Crowther,2022.07.18,2,The Week in Chess 1445,2,2022.07.23,2688,,,18,,
248,55th Biel GM 2022,Biel SUI,2022.07.15,2.1,"Gukesh, D.","Naiditsch, A.",1/2-1/2,2664,E11,SUI,2022.07.14,7,tourn,38,Mark Crowther,2022.07.18,2,The Week in Chess 1445,2,2022.07.23,2684,,,18,,
249,55th Biel GM 2022,Biel SUI,2022.07.16,3.1,"Le, Quang Liem","Gukesh, D.",0-1,2684,D35,SUI,2022.07.14,7,tourn,98,Mark Crowther,2022.07.18,2,The Week in Chess 1445,2,2022.07.23,2722,,,18,,
250,55th Biel GM 2022,Biel SUI,2022.07.19,4.1,"Gukesh, D.","Esipenko, Andrey",0-1,2682,D41,SUI,2022.07.14,7,tourn,88,Mark Crowther,2022.07.25,2,The Week in Chess 1446,1,2022.07.25,2684,,,18,,
251,55th Biel GM 2022,Biel SUI,2022.07.20,5.1,"Keymer, Vincent","Gukesh, D.",0-1,2684,D35,SUI,2022.07.14,7,tourn,134,Mark Crowther,2022.07.25,2,The Week in Chess 1446,1,2022.07.25,2686,,,18,,
252,55th Biel GM 2022,Biel SUI,2022.07.21,6.1,"Gukesh, D.","Kamsky, G.",1/2-1/2,2655,D87,SUI,2022.07.14,7,tourn,80,Mark Crowther,2022.07.25,2,The Week in Chess 1446,1,2022.07.25,2684,,,18,,
253,55th Biel GM 2022,Biel SUI,2022.07.22,7.1,"Salem, AR.","Gukesh, D.",1-0,2684,E01,SUI,2022.07.14,7,tourn,113,Mark Crowther,2022.07.25,2,The Week in Chess 1446,1,2022.07.25,2684,,,18,,
254,44th Olympiad 2022,Chennai IND,2022.07.29,1.11,"Al Hosani, Omran","Gukesh, D.",0-1,2684,E73,IND,2022.07.29,11,team,82,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2215,India 2,United Arab Emirates,,UAE,
255,44th Olympiad 2022,Chennai IND,2022.07.30,2.11,"Gukesh, D.","Kiik, K.",1-0,2365,B30,IND,2022.07.29,11,team,77,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2684,Estonia,India 2,,,EST
256,44th Olympiad 2022,Chennai IND,2022.07.31,3.11,"Georgiadis, N.","Gukesh, D.",0-1,2684,B44,IND,2022.07.29,11,team,74,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2578,India 2,Switzerland,,SUI,
257,44th Olympiad 2022,Chennai IND,2022.08.01,4.8,"Gukesh, D.","Vocaturo, D.",1-0,2616,D41,IND,2022.07.29,11,team,67,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2684,Italy,India 2,,,ITA
258,44th Olympiad 2022,Chennai IND,2022.08.02,5.2,"Shirov, A.","Gukesh, D.",0-1,2684,B30,IND,2022.07.29,11,team,88,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2704,India 2,Spain,,ESP,
259,44th Olympiad 2022,Chennai IND,2022.08.03,6.1,"Gukesh, D.","Sargissian, G.",1-0,2698,D38,IND,2022.07.29,11,team,81,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2684,Armenia,India 2,,,ARM
260,44th Olympiad 2022,Chennai IND,2022.08.05,7.5,"Albornoz Cabrera, Carlos Daniel","Gukesh, D.",0-1,2684,B30,IND,2022.07.29,11,team,91,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2566,India 2,Cuba,,CUB,
261,44th Olympiad 2022,Chennai IND,2022.08.06,8.2,"Caruana, F.","Gukesh, D.",0-1,2684,B31,IND,2022.07.29,11,team,90,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2783,India 2,United States of America,,,
262,44th Olympiad 2022,Chennai IND,2022.08.07,9.1,"Gukesh, D.","Mamedyarov, S.",1/2-1/2,2759,D20,IND,2022.07.29,11,team,68,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2684,Azerbaijan,India 2,,,AZE
263,44th Olympiad 2022,Chennai IND,2022.08.08,10.1,"Gukesh, D.","Abdusattorov, Nodirbek",0-1,2688,D38,IND,2022.07.29,11,team,144,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2684,Uzbekistan,India 2,,,UZB
264,44th Olympiad 2022,Chennai IND,2022.08.09,11.1,"Keymer, Vincent","Gukesh, D.",1/2-1/2,2684,D38,IND,2022.07.29,11,team,149,Mark Crowther,2022.08.15,2,The Week in Chess 1449,1,2022.08.15,2686,India 2,Germany,,GER,
265,TCh-TUR Super League 2022,Ankara TUR,2022.08.16,1.4,"Gukesh, D.","Gholami, A.",1-0,2507,B15,TUR,2022.08.16,13,team,101,Mark Crowther,2022.08.22,2,The Week in Chess 1450,1,2022.08.22,2699,BURSA BUYUKSEHIR BELEDIYESPOR KULUBU,TURK HAVA YOLLARI (THY) SPOR KULUBU,,,
266,TCh-TUR Super League 2022,Ankara TUR,2022.08.17,2.3,"Esipenko, Andrey","Gukesh, D.",0-1,2699,E10,TUR,2022.08.16,13,team,58,Mark Crowther,2022.08.22,2,The Week in Chess 1450,1,2022.08.22,2692,TURK HAVA YOLLARI (THY) SPOR KULUBU,BAYEGAN PENDIK SATRANC SPOR KULUBU,,,
267,TCh-TUR Super League 2022,Ankara TUR,2022.08.18,3.3,"Gukesh, D.","Sanal, V.",1-0,2570,D38,TUR,2022.08.16,13,team,81,Mark Crowther,2022.08.22,2,The Week in Chess 1450,1,2022.08.22,2699,DENIZ SU AQUAMATCH SATRANC GENCLIK VE SP,TURK HAVA YOLLARI (THY) SPOR KULUBU,,,
268,TCh-TUR Super League 2022,Ankara TUR,2022.08.19,4.4,"Kobalia, M.","Gukesh, D.",1-0,2699,B31,TUR,2022.08.16,13,team,95,Mark Crowther,2022.08.22,2,The Week in Chess 1450,1,2022.08.22,2578,TURK HAVA YOLLARI (THY) SPOR KULUBU,KARAMAN FUTBOL KULUBU,,,
