,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,EventCategory,EventCountry,EventDate,EventRounds,EventType,PlyCount,Source,SourceDate,SourceQuality,SourceTitle,SourceVersion,SourceVersionDate,WhiteElo,BlackTeam,WhiteTeam,BlackTeamCountry,WhiteTeamCountry
101,10th Norway Chess 2022,Stavanger NOR,2022.06.01,2.1,"So, W.","Carlsen, M.",1/2-1/2,2864,D45,21,NOR,2022.05.31,9,tourn,75,Mark Crowther,2022.06.06,2,The Week in Chess 1439,1,2022.06.06,2776,,,,
102,10th Norway Chess 2022,Stavanger NOR,2022.06.02,3.1,"Carlsen, M.","Radjabov, T.",1-0,2753,E06,21,NOR,2022.05.31,9,tourn,71,Mark Crowther,2022.06.06,2,The Week in Chess 1439,1,2022.06.06,2864,,,,
103,10th Norway Chess 2022,Stavanger NOR,2022.06.03,4.1,"Carlsen, M.","Giri, A.",1-0,2761,D41,21,NOR,2022.05.31,9,tourn,67,Mark Crowther,2022.06.06,2,The Week in Chess 1439,1,2022.06.06,2864,,,,
104,10th Norway Chess 2022,Stavanger NOR,2022.06.05,5.1,"Anand, V.","Carlsen, M.",1/2-1/2,2864,C55,21,NOR,2022.05.31,9,tourn,80,Mark Crowther,2022.06.06,2,The Week in Chess 1439,1,2022.06.06,2751,,,,
105,10th Norway Chess 2022,Stavanger NOR,2022.06.06,6.1,"Carlsen, M.","Mamedyarov, S.",1-0,2759,D78,21,NOR,2022.05.31,9,tourn,112,Mark Crowther,2022.06.06,2,The Week in Chess 1439,1,2022.06.06,2864,,,,
106,10th Norway Chess 2022,Stavanger NOR,2022.06.06,6.1,"Carlsen, M.","Mamedyarov, S.",1-0,2759,D78,21,NOR,2022.05.31,9,tourn,112,Mark Crowther,2022.06.13,2,The Week in Chess 1440,1,2022.06.13,2864,,,,
107,10th Norway Chess 2022,Stavanger NOR,2022.06.07,7.1,"Tari, A.","Carlsen, M.",1/2-1/2,2864,C47,21,NOR,2022.05.31,9,tourn,65,Mark Crowther,2022.06.13,2,The Week in Chess 1440,1,2022.06.13,2654,,,,
108,10th Norway Chess 2022,Stavanger NOR,2022.06.09,8.1,"Carlsen, M.","Vachier Lagrave, M.",1/2-1/2,2750,D85,21,NOR,2022.05.31,9,tourn,157,Mark Crowther,2022.06.13,2,The Week in Chess 1440,1,2022.06.13,2864,,,,
109,10th Norway Chess 2022,Stavanger NOR,2022.06.10,9.1,"Topalov, V.","Carlsen, M.",1/2-1/2,2864,C50,21,NOR,2022.05.31,9,tourn,69,Mark Crowther,2022.06.13,2,The Week in Chess 1440,1,2022.06.13,2730,,,,
110,44th Olympiad 2022,Chennai IND,2022.07.30,2.3,"Carlsen, M.","Meier, Geo",1-0,2613,C10,,IND,2022.07.29,11,team,159,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2864,Uruguay,Norway,URU,NOR
111,44th Olympiad 2022,Chennai IND,2022.07.31,3.3,"Vocaturo, D.","Carlsen, M.",1/2-1/2,2864,B13,,IND,2022.07.29,11,team,111,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2616,Norway,Italy,NOR,ITA
112,44th Olympiad 2022,Chennai IND,2022.08.01,4.13,"Carlsen, M.","Batsuren, Dambasuren",1-0,2518,D38,,IND,2022.07.29,11,team,59,Mark Crowther,2022.08.01,2,The Week in Chess 1447,1,2022.08.01,2864,Mongolia,Norway,MGL,NOR
113,44th Olympiad 2022,Chennai IND,2022.08.02,5.26,"Bwalya, Gillan","Carlsen, M.",0-1,2864,E51,,IND,2022.07.29,11,team,52,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2396,Norway,Zambia,NOR,ZAM
114,44th Olympiad 2022,Chennai IND,2022.08.03,6.14,"Smirnov, Ant","Carlsen, M.",0-1,2864,B00,,IND,2022.07.29,11,team,80,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2600,Norway,Australia,NOR,AUS
115,44th Olympiad 2022,Chennai IND,2022.08.05,7.28,"Carlsen, M.","Stanojoski, Z.",1-0,2412,D00,,IND,2022.07.29,11,team,137,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2864,North Macedonia,Norway,,NOR
116,44th Olympiad 2022,Chennai IND,2022.08.06,8.17,"Carlsen, M.","Pechac, Jergus",1/2-1/2,2594,A20,,IND,2022.07.29,11,team,83,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2864,Slovakia,Norway,SVK,NOR
117,44th Olympiad 2022,Chennai IND,2022.08.07,9.18,"Megaranto, S.","Carlsen, M.",0-1,2864,E11,,IND,2022.07.29,11,team,94,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2529,Norway,Indonesia,NOR,INA
118,44th Olympiad 2022,Chennai IND,2022.08.08,10.11,"Carlsen, M.","Schitco, Ivan",1/2-1/2,2490,A05,,IND,2022.07.29,11,team,90,Mark Crowther,2022.08.08,2,The Week in Chess 1448,1,2022.08.08,2864,Moldova,Norway,MDA,NOR
119,9th Sinquefield Cup 2022,Saint Louis USA,2022.09.02,1.4,"Carlsen, M.","Nepomniachtchi, I.",1-0,2792,E10,21,USA,2022.09.02,9,tourn,85,Mark Crowther,2022.09.05,2,The Week in Chess 1452,2,2022.09.06,2861,,,,
120,9th Sinquefield Cup 2022,Saint Louis USA,2022.09.03,2.3,"Aronian, L.","Carlsen, M.",1/2-1/2,2861,E11,21,USA,2022.09.02,9,tourn,72,Mark Crowther,2022.09.05,2,The Week in Chess 1452,2,2022.09.06,2759,,,,
121,9th Sinquefield Cup 2022,Saint Louis USA,2022.09.04,3.1,"Carlsen, M.","Niemann, Hans Moke",0-1,2688,E20,21,USA,2022.09.02,9,tourn,113,Mark Crowther,2022.09.05,2,The Week in Chess 1452,2,2022.09.06,2861,,,,
122,9th Sinquefield Cup 2022,Saint Louis USA,2022.09.05,4.4,"Carlsen, M.","Mamedyarov, S.",0-1,2757,,21,USA,2022.09.02,9,tourn,0,Mark Crowther,2022.09.05,2,The Week in Chess 1452,2,2022.09.06,2861,,,,
